시도,시군구,총인구,면적,인구밀도,인구증가율,고령,생산가능,유소년,고령인구비율,합계출산율,출생아수,합계출산율_2013
대구,북구,430912.0,93.94681,4466.6125581058,-2.62,73675.0,301055.0,44894.0,17.09745841378286,0.698,1649.0,1.217
대구,서구,159827.0,17.32363,9471.9204068677,2.67,42936.0,109754.0,11398.0,26.864046750549036,0.474,365.0,0.994
대구,수성구,411553.0,76.53601,5322.0832872227,-1.03,75007.0,283343.0,48981.0,18.22535615096962,0.569,1166.0,0.944
대구,중구,80199.0,7.05559,12623.1737029007,11.05,17113.0,62038.0,9913.0,21.338171298894,0.824,533.0,0.936
대전,대덕구,172746.0,68.73929,2470.9738727576,-1.67,33053.0,121074.0,15726.0,19.133872853785327,0.833,749.0,1.276
대전,동구,219751.0,136.69332,1592.0895386568,-0.97,47641.0,149061.0,20926.0,21.6795372944833,0.825,951.0,1.25
대전,서구,470374.0,95.54217,4863.1299541846,-1.22,71534.0,338956.0,54144.0,15.207898395744662,0.723,2322.0,1.164
대전,유성구,356093.0,176.61248,2077.1182759574,3.02,41897.0,272913.0,52035.0,11.76574658867206,0.895,2380.0,1.391
대전,중구,227108.0,62.19221,3589.7744213738,-1.7,50631.0,151386.0,21239.0,22.29379854518555,0.645,792.0,1.128
부산,강서구,143207.0,182.15614,781.7249715624,-0.57,20180.0,95578.0,26638.0,14.091489941134162,0.987,1015.0,1.424
부산,금정구,221256.0,65.27879,3302.6041481787,-2.56,54066.0,143919.0,17605.0,24.435947499728822,0.58,630.0,0.921
부산,기장군,178614.0,218.33675,818.5932975723,0.06,32945.0,119528.0,26256.0,18.44480275902225,0.845,886.0,1.61
부산,남구,256333.0,26.82406,9476.0082279272,-0.84,58953.0,170142.0,25090.0,22.99859947802273,0.596,784.0,1.017
부산,동구,86462.0,10.12148,8673.8282526678,1.54,25093.0,56501.0,6198.0,29.02199810321297,0.715,366.0,0.947
부산,동래구,273226.0,16.63086,16283.8820450098,-0.88,57512.0,181932.0,31371.0,21.04924128743238,0.672,1061.0,0.935
부산,부산진구,355917.0,29.66618,12118.4451710031,1.01,79321.0,248914.0,31273.0,22.286375756145397,0.648,1615.0,1.029
부산,북구,278857.0,39.37407,6948.6330966471,-1.89,59154.0,187912.0,26530.0,21.213023162409407,0.732,1166.0,1.148
부산,사상구,203789.0,36.10462,5620.665098188,-0.42,45700.0,141017.0,16215.0,22.42515543037161,0.6,682.0,1.15
부산,사하구,301987.0,41.78493,7127.7134906299,-1.38,69050.0,201475.0,27306.0,22.865222675148267,0.676,1076.0,1.147
부산,서구,105192.0,13.97203,7449.8138315937,-1.05,29273.0,66498.0,8318.0,27.828161837402085,0.566,302.0,0.819
부산,수영구,174806.0,10.21745,17080.3908298939,-0.16,42528.0,117346.0,14644.0,24.328684370101712,0.561,662.0,0.897
부산,연제구,203536.0,12.10599,16997.045222213,1.1,46217.0,138837.0,20712.0,22.707039540916597,0.646,836.0,0.989
부산,영도구,108156.0,14.2005,7503.1174612236,-1.49,33675.0,65284.0,7589.0,31.13558193720182,0.692,317.0,0.84
부산,중구,39689.0,3.01298,12817.5355329905,-2.7,11866.0,25109.0,1644.0,29.897452694701304,0.32,70.0,0.887
부산,해운대구,386785.0,51.52272,7384.0818772109,-1.64,79666.0,259839.0,40943.0,20.59697247825019,0.652,1398.0,1.058
서울,강남구,529102.0,39.4976,13795.0923601882,2.98,86434.0,394528.0,63911.0,16.33598058597397,0.558,2296.0,0.842
서울,강동구,460067.0,24.59038,18672.6252129455,-0.2,82815.0,325601.0,50751.0,18.0006390373576,0.629,2194.0,1.006
